distillery_name,profile,brand_name,list_link,detail_link,title_tag,count,title_stat,stat
Laphroaig,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/laphroaig-scotch-whisky,salt,44,Average score,87.2
Laphroaig,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/laphroaig-scotch-whisky,salt,44,Ratings,"1,412"
Laphroaig,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/laphroaig-scotch-whisky,salt,44,Reviews,359
Laphroaig,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/laphroaig-scotch-whisky,salt,44,Likes,7
Lagavulin,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/lagavulin-scotch-whisky,smoke,75,Average score,89.7
Lagavulin,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/lagavulin-scotch-whisky,smoke,75,Ratings,854
Lagavulin,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/lagavulin-scotch-whisky,smoke,75,Reviews,188
Lagavulin,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/lagavulin-scotch-whisky,smoke,75,Likes,9
Lagavulin,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/lagavulin-scotch-whisky,peat,75,Average score,89.7
Lagavulin,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/lagavulin-scotch-whisky,peat,75,Ratings,854
Lagavulin,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/lagavulin-scotch-whisky,peat,75,Reviews,188
Lagavulin,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/lagavulin-scotch-whisky,peat,75,Likes,9
Lagavulin,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/lagavulin-scotch-whisky,brine,26,Average score,89.7
Lagavulin,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/lagavulin-scotch-whisky,brine,26,Ratings,854
Lagavulin,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/lagavulin-scotch-whisky,brine,26,Reviews,188
Lagavulin,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/lagavulin-scotch-whisky,brine,26,Likes,9
Lagavulin,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/lagavulin-scotch-whisky,salt,25,Average score,89.7
Lagavulin,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/lagavulin-scotch-whisky,salt,25,Ratings,854
Lagavulin,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/lagavulin-scotch-whisky,salt,25,Reviews,188
Lagavulin,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/lagavulin-scotch-whisky,salt,25,Likes,9
Lagavulin,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/lagavulin-scotch-whisky,iodine,20,Average score,89.7
Lagavulin,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/lagavulin-scotch-whisky,iodine,20,Ratings,854
Lagavulin,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/lagavulin-scotch-whisky,iodine,20,Reviews,188
Lagavulin,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/lagavulin-scotch-whisky,iodine,20,Likes,9
Springbank,Campbeltown Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/springbank-scotch-whisky,smoke,29,Average score,86.7
Springbank,Campbeltown Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/springbank-scotch-whisky,smoke,29,Ratings,466
Springbank,Campbeltown Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/springbank-scotch-whisky,smoke,29,Reviews,183
Springbank,Campbeltown Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/springbank-scotch-whisky,smoke,29,Likes,7
Springbank,Campbeltown Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/springbank-scotch-whisky,peat,27,Average score,86.7
Springbank,Campbeltown Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/springbank-scotch-whisky,peat,27,Ratings,466
Springbank,Campbeltown Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/springbank-scotch-whisky,peat,27,Reviews,183
